strain_host,latinname,host_category,order,domesticstatus,corrected_host,
africangoose,Anser cygnoides domesticus,goose,anseriformes,unknown,africangoose,
africancrownedcrane,Balearica regulorum,crane,gruiformes,unknown,africancrownedcrane,
amazonparrot,Amazona,parrot,psittaciformes,unknown,amazonparrot,
americanblackduck,Anas rubripes,duck,anseriformes,wild,americanblackduck,
americanbluewingedteal,Spatula discors,duck,anseriformes,wild,bluewingedteal,
americanbuffgoose,Anser anser domesticus,goose,anseriformes,domestic,americanbuffgoose,
americancoot,Fulica americana,crane,gruiformes,wild,americancoot,
americancrow,Corvus brachyrhynchos,passerine,passeriformes,wild,americancrow,
americangreenwingedteal,Anas carolinensis,duck,anseriformes,wild,greenwingedteal,
americangoshawk,Astur atricapillus,raptor,accipitriformes,wild,americangoshawk,
americankestrel,Falco sparverius,raptor,falconiformes,wild,americankestrel,
americanpelican,Pelecanus erythrorhynchos,pelican,pelecaniformes,wild,americanwhitepelican,
americanraven,Corvus corax ,passerine,passeriformes,wild,commonraven,
americanrobin,Turdus migratorius,passerine,passeriformes,wild,americanrobin,
americanwhitepelican,Pelecanus erythrorhynchos,pelican,pelecaniformes,wild,americanwhitepelican,
americanwigeon,Mareca americana,duck,anseriformes,wild,americanwigeon,
americanwoodstork,Mycteria americana,wader,ciconiiformes,wild,americanwoodstork,
anasplatyrhynchos,Anas platyrhynchos,duck,anseriformes,wild,mallard,
anatinae,Anatidae,duck,anseriformes,wild,wildduck,
arctictern,Sterna paradisaea,tern,charadriiformes,wild,arctictern,
atlanticpuffin,Fratercula arctica,seabird,charadriiformes,wild,atlanticpuffin,
aves,,,unknown,unknown,aves,
avian,,,unknown,unknown,avian,
backyardbird,,,unknown,domestic,backyardbird,
baerspochard,Aythya baeri,duck,anseriformes,unknown,baerspochard,
baikalteal,Sibirionetta formosa,duck,anseriformes,wild,baikalteal,
baldeagle,Haliaeetus leucocephalus,raptor,accipitriformes,wild,baldeagle,
barheadedgoose,Anser indicus,goose,anseriformes,wild,barheadedgoose,
barnowl,Tyto alba,owl,strigiformes,wild,barnowl,
barnswallow,Hirundo rustica,passerine,passeriformes,wild,barnswallow,
barredowl,Strix varia,owl,strigiformes,wild,barredowl,
barrowsgoldeneye,Bucephala islandica,duck,anseriformes,wild,barrowsgoldeneye,
blackbelliedplover,Pluvialis squatarola,wader,charadriiformes,wild,blackbelliedplover,
blackbilledmagpie,Pica hudsonia,passerine,passeriformes,wild,blackbilledmagpie,
blackbird,Turdus merula,passerine,passeriformes,wild,blackbird,
blackbrant,Branta bernicla nigricans,goose,anseriformes,wild,blackbrant,black brant is a subspecies
blackcrownednightheron,Nycticorax nycticorax,heron,pelecaniformes,wild,blackcrownednightheron,
blackleggedkittiwake,Rissa tridactyla,gull,charadriiformes,wild,blackleggedkittiwake,
blackneckswan,Cygnus melancoryphus,swan,anseriformes,unknown,blackneckswan,
blackscoter,Melanitta americana,duck,anseriformes,wild,blackscoter,
blackskimmer,Rynchops niger,seabird,charadriiformes,wild,blackskimmer,
blackswan,Cygnus atratus,swan,anseriformes,wild,blackswan,
blackswift,Cypseloides niger,swift,apodiformes,wild,blackswift,
blackturnstone,Arenaria melanocephala,wader,charadriiformes,wild,blackturnstone,
blackvulture,Coragyps atratus,raptor,accipitriformes,wild,blackvulture,
bluejay,Cyanocitta cristata,passerine,passeriformes,wild,bluejay,
bluewingedteal,Spatula discors,duck,anseriformes,wild,bluewingedteal,
bonapartesgull,Chroicocephalus philadelphia,gull,charadriiformes,wild,bonapartesgull,
brant,Branta bernicla,goose,anseriformes,wild,brant,
brandtgoose,Branta bernicla,goose,anseriformes,wild,brant,
brazilianteal,Amazonetta brasiliensis,duck,anseriformes,unknown,brazilianteal,
brewersblackbird,Euphagus cyanocephalus,passerine,passeriformes,wild,brewersblackbird,
broadwingedhawk,Buteo platypterus,raptor,accipitriformes,wild,broadwingedhawk,
broilerbreederschicken,Gallus gallus,chicken,galliformes,domestic,chicken,
broilerchicken,Gallus gallus,chicken,galliformes,domestic,chicken,
brownpelican,Pelecanus occidentalis,pelican,pelecaniformes,wild,brownpelican,
bufflehead,Bucephala albeola,duck,anseriformes,wild,bufflehead,
cacklinggoose,Branta hutchinsii,goose,anseriformes,wild,cacklinggoose,
californiacondor,Gymnogyps californianus,raptor,accipitriformes,wild,californiacondor,
californiagull,Larus californicus,gull,charadriiformes,wild,californiagull,
canadagoose,Branta canadensis,goose,anseriformes,wild,canadagoose,
canvasback,Aythya valisineria,duck,anseriformes,wild,canvasback,
capeteal,Anas capensis,duck,anseriformes,unknown,capeteal,
cascadeduck,,duck,anseriformes,domestic,cascadeduck,
caspiantern,Hydroprogne caspia,tern,charadriiformes,wild,caspiantern,
