,annotation,correction,status
0,phalacrocoraxcarbo,greatcormorant,wild
1,chukar,chukar,wild
2,mynas,myna,wild
3,easternscreechowl,easternscreechowl,wild
4,whooper_swan,whooperswan,wild
5,redshoulderedhawk,redshoulderedhawk,wild
6,wildturkey,wildturkey,wild
7,blackbelliedplover,blackbelliedplover,wild
8,harrisshawk,harrishawk,wild
9,large-billedcrow,largebilledcrow,wild
10,scarletibis,scarletibis,unknown
11,blackskimmer,blackskimmer,wild
12,mandarinduck,mandarinduck,wild
13,razorbill,razorbill,wild
14,indianrunnerducks,indianrunnerduck,domestic
15,americanbluewingedteal,bluewingedteal,wild
16,brown-headedgull,brownheadedgull,wild
17,openbill_stork,openbilledstork,wild
18,greatbarbet,greatbarbet,wild
19,ringneckedduck,ringneckedduck,wild
20,cattleegret,cattleegret,wild
21,gyrfalcon,gyrfalcon,wild
22,merganser,merganser,wild
23,trumpeterswan,trumpeterswan,wild
24,osprey,osprey,wild
25,barheadedgoose,barheadedgoose,wild
26,pelecanusconspicillatus,australianpelican,wild
27,ruddy_turnstone,ruddyturnstone,wild
28,wildgoose,wildgoose,wild
29,waterfowl,waterfowl,unknown
30,coopershawk,coopershawk,wild
31,whitestork,whitestork,wild
32,domesticpoultry,domesticpoultry,domestic
33,brewersblackbird,brewersblackbird,wild
34,commonpheasant,commonpheasant,wild
35,spur-wingedlapwing,spurwingedlapwing,wild
36,white-backedmunia,whitebackedmunia,wild
37,open-billedstork,openbilledstork,wild
38,babbler,oldworldbabbler,wild
39,red-billedstarling,readbreastedstarling,wild
40,dk,duck,unknown
41,americangreen-wingedteal,americangreenwingedteal,wild
42,whitefrontedgoose,greaterwhitefrontedgoose,wild
43,housecrow,housecrow,wild
44,commongoldeneye,commongoldeneye,wild
45,ardeacinera,greyheron,wild
46,scalysidedmerganser,scalysidedmerganser,unknown
47,dalmatianpelican,dalmatianpelican,unknown
48,domesticgoose,domesticgoose,domestic
49,magpie,magpie,wild
50,qa,quail,unknown
51,redtailedhawk,redtailedhawk,wild
52,openbillstork,openbilledstork,wild
53,blackscoter,blackscoter,wild
54,whistlingswan,tundraswan,wild
55,dove,dove,wild
56,dunlin,dunlin,wild
57,openbill,openbilledstork,wild
58,greenheron,greenheron,wild
59,smew,smew,wild
60,mergus,duck,unknown
61,yellow_billed_duck,yellowbilledduck,wild
62,greylaggoose,greylaggoose,unknown
63,crow,crow,wild
64,sandwichtern,sandwichtern,wild
65,redbreastedmerganser,redbreastedmerganser,wild
66,blacknestedgrebe,blackneckedgrebe,wild
67,little_egret,littleegret,wild
68,northernshoveler,northernshoveler,wild
69,poultry,chicken,domestic
70,woodduck,woodduck,wild
71,royaltern,royaltern,wild
72,commonmyna,commonmyna,wild
73,whitewingeddove,whitewingeddove,wild
74,anseralbifrons,greaterwhitefrontedgoose,wild
75,arctictern,arctictern,wild
76,muteswan,muteswan,wild
77,larkbunting,larkbunting,wild
78,snowyplover,snowyplover,wild
79,gf,guineafowl,unknown
80,tachybaptusruficollis,littlegrebe,wild
81,whooperswan,whooperswan,wild
82,housesparrow,housesparrow,wild
83,anasplatyrhynchos,mallard,wild
84,coopersshawk,coopershawk,wild
85,black_duck,americanblackduck,wild
86,brown-headgull,brownheadedgull,wild
87,brownpelican,brownpelican,wild
88,littlecuckoo-dove,littlecuckoodove,wild
89,bluemagpie,bluemagpie,wild
90,egyptiangoose,egyptiangoose,wild
91,common_pochard,commonpochard,wild
92,swainsonshawk,swainsonshawk,wild
93,tree_sparrow,treesparrow,wild
94,europeanteal,eurasianteal,wild
95,saker_falcon,sakerfalcon,wild
